ID Instância;Tempo (s);F.O.;Pares Estratégicos (L2);Média L2 (Conflitos);Menor L2 (Conflitos)
1;2,02;-0,0;OK (Todos = 1.00);3,8;2,0
2;3,9;-0,0;OK (Todos = 1.00);3,66;2,0
3;3,21;-0,0;OK (Todos = 1.00);4,07;2,0
4;1,7;-0,0;OK (Todos = 1.00);4,19;2,0
5;3,15;-0,0;OK (Todos = 1.00);4,04;2,0
6;0,11;;N/A;;
7;4,26;-0,0;OK (Todos = 1.00);3,53;2,0
8;7,82;-0,0;OK (Todos = 1.00);4,53;2,0
9;2,95;-0,0;OK (Todos = 1.00);3,44;2,0
10;15,9;-0,0;OK (Todos = 1.00);4,29;2,0
11;14,97;-0,0;OK (Todos = 1.00);3,78;2,0
12;96,38;-0,0;OK (Todos = 1.00);3,85;2,0
13;42,11;-0,0;OK (Todos = 1.00);4,28;2,0
14;29,74;-0,0;OK (Todos = 1.00);3,8;2,0
15;258,95;-0,0;OK (Todos = 1.00);3,31;2,0
16;300,09;-161347,0;OK (Todos = 1.00);4,01;2,0
17;178,37;-0,0;OK (Todos = 1.00);4,19;2,0
18;156,22;-0,0;OK (Todos = 1.00);3,8;2,0
19;65,05;-0,0;OK (Todos = 1.00);3,71;2,0
20;300,66;-200836,0;OK (Todos = 1.00);4,08;2,0
21;19,85;-0,0;OK (Todos = 1.00);3,95;2,0
22;11,02;-0,0;OK (Todos = 1.00);4,11;2,0
23;34,33;-0,0;OK (Todos = 1.00);3,77;2,0
24;2,58;-0,0;OK (Todos = 1.00);3,59;2,0
25;5,14;-0,0;OK (Todos = 1.00);3,37;2,0
26;60,29;-0,0;OK (Todos = 1.00);4,55;2,0
27;0,35;;N/A;;
28;19,82;-0,0;OK (Todos = 1.00);4,24;2,0
29;7,36;-0,0;OK (Todos = 1.00);3,96;2,0
30;3,91;-0,0;OK (Todos = 1.00);3,77;2,0
